n:1 mse_avg:2.96 mse_y:2.96 mse_u:2.97 mse_v:2.96 psnr_avg:43.38 psnr_y:43.42 psnr_u:43.41 psnr_v:43.42 
n:115 mse_avg:4883.05 mse_y:6744.45 mse_u:907.01 mse_v:1413.49 psnr_avg:11.21 psnr_y:9.84 psnr_u:18.55 psnr_v:16.63 
n:116 mse_avg:4828.67 mse_y:6670.93 mse_u:898.48 mse_v:1389.83 psnr_avg:11.26 psnr_y:9.89 psnr_u:18.60 psnr_v:16.70 
n:117 mse_avg:4826.43 mse_y:6670.91 mse_u:899.76 mse_v:1375.19 psnr_avg:11.26 psnr_y:9.89 psnr_u:18.59 psnr_v:16.75 
n:118 mse_avg:4976.51 mse_y:6857.20 mse_u:980.74 mse_v:1449.49 psnr_avg:11.13 psnr_y:9.77 psnr_u:18.22 psnr_v:16.52 
n:119 mse_avg:4902.42 mse_y:6760.41 mse_u:956.61 mse_v:1416.28 psnr_avg:11.19 psnr_y:9.83 psnr_u:18.32 psnr_v:16.62 
n:120 mse_avg:4898.02 mse_y:6760.92 mse_u:945.98 mse_v:1398.45 psnr_avg:11.20 psnr_y:9.83 psnr_u:18.37 psnr_v:16.67 
n:121 mse_avg:4917.48 mse_y:6793.27 mse_u:939.20 mse_v:1392.61 psnr_avg:11.18 psnr_y:9.81 psnr_u:18.40 psnr_v:16.69 
n:122 mse_avg:4934.57 mse_y:6819.49 mse_u:936.16 mse_v:1393.27 psnr_avg:11.16 psnr_y:9.79 psnr_u:18.42 psnr_v:16.69 
n:123 mse_avg:5015.57 mse_y:6912.62 mse_u:994.21 mse_v:1448.73 psnr_avg:11.09 psnr_y:9.73 psnr_u:18.16 psnr_v:16.52 
n:124 mse_avg:4938.25 mse_y:6809.98 mse_u:973.41 mse_v:1416.16 psnr_avg:11.16 psnr_y:9.80 psnr_u:18.25 psnr_v:16.62 
n:125 mse_avg:4903.03 mse_y:6764.17 mse_u:961.70 mse_v:1399.80 psnr_avg:11.19 psnr_y:9.83 psnr_u:18.30 psnr_v:16.67 
n:126 mse_avg:4898.95 mse_y:6764.04 mse_u:952.29 mse_v:1385.20 psnr_avg:11.20 psnr_y:9.83 psnr_u:18.34 psnr_v:16.72 
n:127 mse_avg:4929.99 mse_y:6809.10 mse_u:952.54 mse_v:1391.04 psnr_avg:11.17 psnr_y:9.80 psnr_u:18.34 psnr_v:16.70 
n:128 mse_avg:5043.24 mse_y:6940.34 mse_u:1023.88 mse_v:1474.22 psnr_avg:11.07 psnr_y:9.72 psnr_u:18.03 psnr_v:16.45 
n:129 mse_avg:4967.00 mse_y:6843.89 mse_u:982.68 mse_v:1443.80 psnr_avg:11.14 psnr_y:9.78 psnr_u:18.21 psnr_v:16.54 
n:130 mse_avg:4973.78 mse_y:6856.52 mse_u:974.75 mse_v:1441.87 psnr_avg:11.13 psnr_y:9.77 psnr_u:18.24 psnr_v:16.54 
n:131 mse_avg:4983.30 mse_y:6868.28 mse_u:973.57 mse_v:1453.12 psnr_avg:11.12 psnr_y:9.76 psnr_u:18.25 psnr_v:16.51 
n:132 mse_avg:4991.11 mse_y:6877.61 mse_u:972.07 mse_v:1464.13 psnr_avg:11.11 psnr_y:9.76 psnr_u:18.25 psnr_v:16.47 
n:133 mse_avg:5076.74 mse_y:6979.79 mse_u:1033.47 mse_v:1507.81 psnr_avg:11.04 psnr_y:9.69 psnr_u:17.99 psnr_v:16.35 
n:134 mse_avg:5067.04 mse_y:6978.45 mse_u:1008.41 mse_v:1480.04 psnr_avg:11.05 psnr_y:9.69 psnr_u:18.09 psnr_v:16.43 
n:135 mse_avg:4994.05 mse_y:6881.04 mse_u:984.66 mse_v:1455.46 psnr_avg:11.11 psnr_y:9.75 psnr_u:18.20 psnr_v:16.50 
n:136 mse_avg:4987.13 mse_y:6878.45 mse_u:970.73 mse_v:1438.24 psnr_avg:11.12 psnr_y:9.76 psnr_u:18.26 psnr_v:16.55 
n:137 mse_avg:5026.94 mse_y:6942.86 mse_u:963.98 mse_v:1426.20 psnr_avg:11.08 psnr_y:9.72 psnr_u:18.29 psnr_v:16.59 
n:138 mse_avg:5134.78 mse_y:7072.18 mse_u:1030.97 mse_v:1489.02 psnr_avg:10.99 psnr_y:9.64 psnr_u:18.00 psnr_v:16.40 
n:139 mse_avg:5096.85 mse_y:7033.90 mse_u:999.53 mse_v:1445.95 psnr_avg:11.02 psnr_y:9.66 psnr_u:18.13 psnr_v:16.53 
n:140 mse_avg:5109.29 mse_y:7059.87 mse_u:989.47 mse_v:1426.77 psnr_avg:11.01 psnr_y:9.64 psnr_u:18.18 psnr_v:16.59 
n:141 mse_avg:5137.81 mse_y:7105.47 mse_u:985.54 mse_v:1419.43 psnr_avg:10.99 psnr_y:9.61 psnr_u:18.19 psnr_v:16.61 
n:142 mse_avg:5170.46 mse_y:7155.50 mse_u:983.15 mse_v:1417.60 psnr_avg:10.96 psnr_y:9.58 psnr_u:18.20 psnr_v:16.62 
n:143 mse_avg:5217.40 mse_y:7202.91 mse_u:1031.85 mse_v:1460.89 psnr_avg:10.92 psnr_y:9.56 psnr_u:17.99 psnr_v:16.48 
n:144 mse_avg:5159.84 mse_y:7134.63 mse_u:991.45 mse_v:1429.07 psnr_avg:10.97 psnr_y:9.60 psnr_u:18.17 psnr_v:16.58 
n:145 mse_avg:5162.34 mse_y:7140.25 mse_u:983.32 mse_v:1429.70 psnr_avg:10.97 psnr_y:9.59 psnr_u:18.20 psnr_v:16.58 
n:146 mse_avg:5181.22 mse_y:7169.11 mse_u:980.48 mse_v:1430.40 psnr_avg:10.95 psnr_y:9.58 psnr_u:18.22 psnr_v:16.58 
n:147 mse_avg:5199.64 mse_y:7195.86 mse_u:978.06 mse_v:1436.33 psnr_avg:10.94 psnr_y:9.56 psnr_u:18.23 psnr_v:16.56 
n:148 mse_avg:5284.00 mse_y:7295.94 mse_u:1031.73 mse_v:1488.49 psnr_avg:10.87 psnr_y:9.50 psnr_u:18.00 psnr_v:16.40 
n:149 mse_avg:5257.31 mse_y:7264.62 mse_u:1015.66 mse_v:1469.72 psnr_avg:10.89 psnr_y:9.52 psnr_u:18.06 psnr_v:16.46 
n:150 mse_avg:5261.81 mse_y:7274.27 mse_u:1008.53 mse_v:1465.28 psnr_avg:10.89 psnr_y:9.51 psnr_u:18.09 psnr_v:16.47 
n:151 mse_avg:5268.90 mse_y:7285.91 mse_u:1004.50 mse_v:1465.27 psnr_avg:10.88 psnr_y:9.51 psnr_u:18.11 psnr_v:16.47 
n:152 mse_avg:5284.04 mse_y:7307.76 mse_u:1004.19 mse_v:1468.98 psnr_avg:10.87 psnr_y:9.49 psnr_u:18.11 psnr_v:16.46 
n:153 mse_avg:5309.38 mse_y:7326.75 mse_u:1041.21 mse_v:1508.06 psnr_avg:10.85 psnr_y:9.48 psnr_u:17.96 psnr_v:16.35 
n:154 mse_avg:5273.16 mse_y:7289.03 mse_u:1010.81 mse_v:1472.04 psnr_avg:10.88 psnr_y:9.50 psnr_u:18.08 psnr_v:16.45 
n:155 mse_avg:5275.11 mse_y:7295.74 mse_u:1003.33 mse_v:1464.39 psnr_avg:10.87 psnr_y:9.50 psnr_u:18.12 psnr_v:16.47 
n:156 mse_avg:5221.43 mse_y:7221.12 mse_u:993.14 mse_v:1450.96 psnr_avg:10.92 psnr_y:9.54 psnr_u:18.16 psnr_v:16.51 
n:157 mse_avg:5250.96 mse_y:7263.32 mse_u:994.90 mse_v:1457.59 psnr_avg:10.89 psnr_y:9.52 psnr_u:18.15 psnr_v:16.49 
n:158 mse_avg:5293.45 mse_y:7294.33 mse_u:1052.78 mse_v:1530.57 psnr_avg:10.86 psnr_y:9.50 psnr_u:17.91 psnr_v:16.28 
n:159 mse_avg:5227.76 mse_y:7218.88 mse_u:1003.81 mse_v:1487.21 psnr_avg:10.91 psnr_y:9.55 psnr_u:18.11 psnr_v:16.41 
