n:97 mse_avg:0.43 mse_y:0.42 mse_u:0.47 mse_v:0.43 psnr_avg:51.75 psnr_y:51.87 psnr_u:51.41 psnr_v:51.81 
n:98 mse_avg:0.52 mse_y:0.52 mse_u:0.53 mse_v:0.47 psnr_avg:50.97 psnr_y:50.93 psnr_u:50.90 psnr_v:51.41 
n:99 mse_avg:0.48 mse_y:0.48 mse_u:0.51 mse_v:0.46 psnr_avg:51.27 psnr_y:51.33 psnr_u:51.02 psnr_v:51.52 
n:100 mse_avg:0.48 mse_y:0.48 mse_u:0.50 mse_v:0.46 psnr_avg:51.26 psnr_y:51.29 psnr_u:51.13 psnr_v:51.52 
n:101 mse_avg:0.40 mse_y:0.40 mse_u:0.41 mse_v:0.39 psnr_avg:52.09 psnr_y:52.15 psnr_u:51.96 psnr_v:52.23 
n:102 mse_avg:0.44 mse_y:0.43 mse_u:0.48 mse_v:0.43 psnr_avg:51.67 psnr_y:51.78 psnr_u:51.33 psnr_v:51.79 
n:103 mse_avg:0.48 mse_y:0.49 mse_u:0.51 mse_v:0.45 psnr_avg:51.25 psnr_y:51.27 psnr_u:51.08 psnr_v:51.60 
n:104 mse_avg:0.48 mse_y:0.48 mse_u:0.51 mse_v:0.45 psnr_avg:51.24 psnr_y:51.27 psnr_u:51.03 psnr_v:51.55 
n:105 mse_avg:0.51 mse_y:0.52 mse_u:0.53 mse_v:0.48 psnr_avg:50.98 psnr_y:50.97 psnr_u:50.88 psnr_v:51.35 
n:106 mse_avg:0.40 mse_y:0.40 mse_u:0.41 mse_v:0.39 psnr_avg:52.11 psnr_y:52.16 psnr_u:51.97 psnr_v:52.25 
n:107 mse_avg:0.44 mse_y:0.43 mse_u:0.47 mse_v:0.43 psnr_avg:51.70 psnr_y:51.82 psnr_u:51.39 psnr_v:51.76 
n:108 mse_avg:0.52 mse_y:0.53 mse_u:0.54 mse_v:0.48 psnr_avg:50.92 psnr_y:50.90 psnr_u:50.84 psnr_v:51.34 
n:109 mse_avg:0.52 mse_y:0.53 mse_u:0.55 mse_v:0.48 psnr_avg:50.91 psnr_y:50.89 psnr_u:50.76 psnr_v:51.33 
n:110 mse_avg:0.52 mse_y:0.53 mse_u:0.53 mse_v:0.48 psnr_avg:50.93 psnr_y:50.91 psnr_u:50.86 psnr_v:51.31 
n:111 mse_avg:0.47 mse_y:0.48 mse_u:0.49 mse_v:0.44 psnr_avg:51.36 psnr_y:51.34 psnr_u:51.27 psnr_v:51.71 
n:112 mse_avg:0.53 mse_y:0.53 mse_u:0.55 mse_v:0.48 psnr_avg:50.86 psnr_y:50.85 psnr_u:50.71 psnr_v:51.28 
n:113 mse_avg:0.48 mse_y:0.48 mse_u:0.51 mse_v:0.46 psnr_avg:51.30 psnr_y:51.35 psnr_u:51.07 psnr_v:51.55 
n:114 mse_avg:0.53 mse_y:0.53 mse_u:0.55 mse_v:0.48 psnr_avg:50.89 psnr_y:50.89 psnr_u:50.73 psnr_v:51.32 
n:115 mse_avg:0.52 mse_y:0.53 mse_u:0.54 mse_v:0.48 psnr_avg:50.92 psnr_y:50.92 psnr_u:50.77 psnr_v:51.32 
n:116 mse_avg:0.40 mse_y:0.40 mse_u:0.42 mse_v:0.38 psnr_avg:52.10 psnr_y:52.14 psnr_u:51.95 psnr_v:52.28 
n:117 mse_avg:0.44 mse_y:0.43 mse_u:0.48 mse_v:0.44 psnr_avg:51.65 psnr_y:51.76 psnr_u:51.34 psnr_v:51.74 
n:118 mse_avg:0.49 mse_y:0.49 mse_u:0.51 mse_v:0.46 psnr_avg:51.23 psnr_y:51.27 psnr_u:51.04 psnr_v:51.50 
n:119 mse_avg:0.48 mse_y:0.48 mse_u:0.51 mse_v:0.46 psnr_avg:51.26 psnr_y:51.30 psnr_u:51.06 psnr_v:51.53 
n:120 mse_avg:0.44 mse_y:0.43 mse_u:0.48 mse_v:0.44 psnr_avg:51.67 psnr_y:51.79 psnr_u:51.35 psnr_v:51.75 
n:121 mse_avg:0.40 mse_y:0.40 mse_u:0.42 mse_v:0.38 psnr_avg:52.10 psnr_y:52.15 psnr_u:51.90 psnr_v:52.29 
n:122 mse_avg:0.44 mse_y:0.43 mse_u:0.48 mse_v:0.43 psnr_avg:51.66 psnr_y:51.76 psnr_u:51.36 psnr_v:51.78 
n:123 mse_avg:0.49 mse_y:0.49 mse_u:0.51 mse_v:0.45 psnr_avg:51.22 psnr_y:51.23 psnr_u:51.04 psnr_v:51.57 
n:124 mse_avg:0.49 mse_y:0.49 mse_u:0.51 mse_v:0.46 psnr_avg:51.23 psnr_y:51.25 psnr_u:51.06 psnr_v:51.52 
n:125 mse_avg:0.48 mse_y:0.48 mse_u:0.50 mse_v:0.45 psnr_avg:51.29 psnr_y:51.31 psnr_u:51.12 psnr_v:51.60 
n:126 mse_avg:0.40 mse_y:0.40 mse_u:0.42 mse_v:0.38 psnr_avg:52.12 psnr_y:52.16 psnr_u:51.92 psnr_v:52.36 
n:127 mse_avg:0.44 mse_y:0.43 mse_u:0.47 mse_v:0.43 psnr_avg:51.69 psnr_y:51.78 psnr_u:51.42 psnr_v:51.82 
n:128 mse_avg:0.48 mse_y:0.48 mse_u:0.51 mse_v:0.45 psnr_avg:51.27 psnr_y:51.28 psnr_u:51.06 psnr_v:51.62 
n:129 mse_avg:0.48 mse_y:0.48 mse_u:0.50 mse_v:0.45 psnr_avg:51.28 psnr_y:51.29 psnr_u:51.10 psnr_v:51.59 
n:130 mse_avg:0.48 mse_y:0.48 mse_u:0.50 mse_v:0.45 psnr_avg:51.29 psnr_y:51.32 psnr_u:51.11 psnr_v:51.57 
n:131 mse_avg:0.40 mse_y:0.39 mse_u:0.42 mse_v:0.38 psnr_avg:52.12 psnr_y:52.18 psnr_u:51.92 psnr_v:52.30 
n:132 mse_avg:0.44 mse_y:0.43 mse_u:0.46 mse_v:0.43 psnr_avg:51.71 psnr_y:51.80 psnr_u:51.49 psnr_v:51.78 
n:133 mse_avg:0.48 mse_y:0.48 mse_u:0.50 mse_v:0.46 psnr_avg:51.28 psnr_y:51.31 psnr_u:51.14 psnr_v:51.51 
n:134 mse_avg:0.52 mse_y:0.54 mse_u:0.53 mse_v:0.47 psnr_avg:50.90 psnr_y:50.83 psnr_u:50.91 psnr_v:51.39 
n:135 mse_avg:0.52 mse_y:0.52 mse_u:0.52 mse_v:0.47 psnr_avg:50.98 psnr_y:50.94 psnr_u:50.94 psnr_v:51.42 
n:136 mse_avg:0.40 mse_y:0.40 mse_u:0.41 mse_v:0.38 psnr_avg:52.10 psnr_y:52.13 psnr_u:51.99 psnr_v:52.31 
n:137 mse_avg:0.43 mse_y:0.43 mse_u:0.47 mse_v:0.43 psnr_avg:51.72 psnr_y:51.82 psnr_u:51.43 psnr_v:51.81 
n:138 mse_avg:0.52 mse_y:0.53 mse_u:0.54 mse_v:0.47 psnr_avg:50.92 psnr_y:50.89 psnr_u:50.81 psnr_v:51.39 
n:139 mse_avg:0.52 mse_y:0.53 mse_u:0.54 mse_v:0.47 psnr_avg:50.93 psnr_y:50.90 psnr_u:50.83 psnr_v:51.41 
n:140 mse_avg:0.63 mse_y:0.68 mse_u:0.58 mse_v:0.50 psnr_avg:50.11 psnr_y:49.84 psnr_u:50.50 psnr_v:51.17 
n:141 mse_avg:0.48 mse_y:0.49 mse_u:0.49 mse_v:0.44 psnr_avg:51.30 psnr_y:51.27 psnr_u:51.22 psnr_v:51.72 
n:142 mse_avg:0.52 mse_y:0.53 mse_u:0.56 mse_v:0.48 psnr_avg:50.90 psnr_y:50.90 psnr_u:50.69 psnr_v:51.32 
n:143 mse_avg:0.48 mse_y:0.48 mse_u:0.51 mse_v:0.45 psnr_avg:51.25 psnr_y:51.28 psnr_u:51.02 psnr_v:51.57 
n:144 mse_avg:0.52 mse_y:0.53 mse_u:0.55 mse_v:0.48 psnr_avg:50.91 psnr_y:50.91 psnr_u:50.74 psnr_v:51.31 
n:145 mse_avg:0.53 mse_y:0.54 mse_u:0.55 mse_v:0.47 psnr_avg:50.87 psnr_y:50.84 psnr_u:50.71 psnr_v:51.38 
n:146 mse_avg:0.40 mse_y:0.40 mse_u:0.41 mse_v:0.38 psnr_avg:52.08 psnr_y:52.11 psnr_u:51.97 psnr_v:52.28 
n:147 mse_avg:0.44 mse_y:0.44 mse_u:0.48 mse_v:0.44 psnr_avg:51.62 psnr_y:51.72 psnr_u:51.36 psnr_v:51.73 
n:148 mse_avg:0.44 mse_y:0.43 mse_u:0.47 mse_v:0.43 psnr_avg:51.67 psnr_y:51.76 psnr_u:51.40 psnr_v:51.79 
n:149 mse_avg:0.52 mse_y:0.53 mse_u:0.53 mse_v:0.47 psnr_avg:50.94 psnr_y:50.91 psnr_u:50.87 psnr_v:51.38 
n:150 mse_avg:0.52 mse_y:0.53 mse_u:0.53 mse_v:0.47 psnr_avg:50.93 psnr_y:50.88 psnr_u:50.89 psnr_v:51.41 
n:151 mse_avg:0.40 mse_y:0.40 mse_u:0.41 mse_v:0.39 psnr_avg:52.10 psnr_y:52.15 psnr_u:51.98 psnr_v:52.26 
n:152 mse_avg:0.44 mse_y:0.43 mse_u:0.48 mse_v:0.44 psnr_avg:51.66 psnr_y:51.78 psnr_u:51.35 psnr_v:51.73 
n:153 mse_avg:0.49 mse_y:0.49 mse_u:0.51 mse_v:0.45 psnr_avg:51.22 psnr_y:51.23 psnr_u:51.05 psnr_v:51.55 
n:154 mse_avg:0.53 mse_y:0.54 mse_u:0.54 mse_v:0.47 psnr_avg:50.89 psnr_y:50.84 psnr_u:50.83 psnr_v:51.37 
n:155 mse_avg:0.52 mse_y:0.53 mse_u:0.53 mse_v:0.48 psnr_avg:50.94 psnr_y:50.90 psnr_u:50.89 psnr_v:51.36 
n:156 mse_avg:0.40 mse_y:0.40 mse_u:0.42 mse_v:0.39 psnr_avg:52.07 psnr_y:52.13 psnr_u:51.90 psnr_v:52.20 
n:157 mse_avg:0.44 mse_y:0.43 mse_u:0.47 mse_v:0.43 psnr_avg:51.70 psnr_y:51.81 psnr_u:51.38 psnr_v:51.77 
n:158 mse_avg:0.53 mse_y:0.55 mse_u:0.54 mse_v:0.48 psnr_avg:50.81 psnr_y:50.75 psnr_u:50.79 psnr_v:51.31 
n:159 mse_avg:0.54 mse_y:0.55 mse_u:0.53 mse_v:0.49 psnr_avg:50.79 psnr_y:50.71 psnr_u:50.85 psnr_v:51.27 
n:160 mse_avg:0.52 mse_y:0.53 mse_u:0.53 mse_v:0.47 psnr_avg:50.90 psnr_y:50.85 psnr_u:50.87 psnr_v:51.36 
n:161 mse_avg:0.48 mse_y:0.48 mse_u:0.50 mse_v:0.43 psnr_avg:51.30 psnr_y:51.29 psnr_u:51.15 psnr_v:51.75 
n:162 mse_avg:0.53 mse_y:0.54 mse_u:0.55 mse_v:0.48 psnr_avg:50.84 psnr_y:50.81 psnr_u:50.69 psnr_v:51.30 
