n:101 mse_avg:254.10 mse_y:379.54 mse_u:4.12 mse_v:2.32 psnr_avg:24.05 psnr_y:22.34 psnr_u:41.98 psnr_v:44.48 
n:102 mse_avg:850.71 mse_y:1272.36 mse_u:10.03 mse_v:4.76 psnr_avg:18.80 psnr_y:17.08 psnr_u:38.12 psnr_v:41.36 
n:103 mse_avg:1655.88 mse_y:2476.14 mse_u:22.14 mse_v:8.62 psnr_avg:15.91 psnr_y:14.19 psnr_u:34.68 psnr_v:38.77 
n:104 mse_avg:1650.26 mse_y:2467.71 mse_u:22.13 mse_v:8.59 psnr_avg:15.92 psnr_y:14.21 psnr_u:34.68 psnr_v:38.79 
n:105 mse_avg:1352.97 mse_y:2023.21 mse_u:19.20 mse_v:5.81 psnr_avg:16.78 psnr_y:15.07 psnr_u:35.30 psnr_v:40.49 
n:106 mse_avg:1590.77 mse_y:2378.95 mse_u:21.52 mse_v:7.29 psnr_avg:16.08 psnr_y:14.37 psnr_u:34.80 psnr_v:39.50 
n:107 mse_avg:4.54 mse_y:5.88 mse_u:2.19 mse_v:1.49 psnr_avg:41.53 psnr_y:40.43 psnr_u:44.73 psnr_v:46.40 
n:108 mse_avg:5.26 mse_y:6.94 mse_u:2.25 mse_v:1.54 psnr_avg:40.89 psnr_y:39.72 psnr_u:44.61 psnr_v:46.27 
n:109 mse_avg:5.99 mse_y:8.01 mse_u:2.32 mse_v:1.58 psnr_avg:40.32 psnr_y:39.09 psnr_u:44.47 psnr_v:46.14 
n:110 mse_avg:5.17 mse_y:6.78 mse_u:2.31 mse_v:1.56 psnr_avg:40.97 psnr_y:39.82 psnr_u:44.50 psnr_v:46.20 
n:111 mse_avg:6.13 mse_y:8.21 mse_u:2.36 mse_v:1.62 psnr_avg:40.22 psnr_y:38.99 psnr_u:44.41 psnr_v:46.04 
n:112 mse_avg:4.55 mse_y:5.90 mse_u:2.16 mse_v:1.54 psnr_avg:41.51 psnr_y:40.42 psnr_u:44.78 psnr_v:46.27 
n:113 mse_avg:5.40 mse_y:7.14 mse_u:2.26 mse_v:1.58 psnr_avg:40.77 psnr_y:39.59 psnr_u:44.58 psnr_v:46.14 
n:114 mse_avg:5.16 mse_y:6.79 mse_u:2.22 mse_v:1.57 psnr_avg:40.97 psnr_y:39.81 psnr_u:44.67 psnr_v:46.16 
n:115 mse_avg:27.24 mse_y:39.83 mse_u:2.45 mse_v:1.65 psnr_avg:33.74 psnr_y:32.13 psnr_u:44.25 psnr_v:45.96 
n:116 mse_avg:1236.67 mse_y:1849.58 mse_u:16.69 mse_v:5.01 psnr_avg:17.17 psnr_y:15.46 psnr_u:35.91 psnr_v:41.13 
n:117 mse_avg:3.67 mse_y:4.70 mse_u:1.90 mse_v:1.35 psnr_avg:42.45 psnr_y:41.41 psnr_u:45.35 psnr_v:46.83 
n:118 mse_avg:1505.06 mse_y:2250.49 mse_u:20.21 mse_v:8.20 psnr_avg:16.32 psnr_y:14.61 psnr_u:35.08 psnr_v:38.99 
n:119 mse_avg:3.62 mse_y:4.63 mse_u:1.86 mse_v:1.33 psnr_avg:42.51 psnr_y:41.47 psnr_u:45.43 psnr_v:46.89 
n:120 mse_avg:708.91 mse_y:1060.43 mse_u:7.90 mse_v:3.82 psnr_avg:19.59 psnr_y:17.88 psnr_u:39.15 psnr_v:42.31 
n:121 mse_avg:990.97 mse_y:1481.46 mse_u:14.46 mse_v:5.54 psnr_avg:18.14 psnr_y:16.42 psnr_u:36.53 psnr_v:40.70 
n:122 mse_avg:695.23 mse_y:1039.55 mse_u:10.24 mse_v:2.90 psnr_avg:19.68 psnr_y:17.96 psnr_u:38.03 psnr_v:43.51 
n:123 mse_avg:1229.63 mse_y:1838.34 mse_u:16.66 mse_v:7.76 psnr_avg:17.20 psnr_y:15.49 psnr_u:35.92 psnr_v:39.23 
n:124 mse_avg:3.56 mse_y:4.55 mse_u:1.83 mse_v:1.33 psnr_avg:42.58 psnr_y:41.55 psnr_u:45.50 psnr_v:46.89 
n:125 mse_avg:4.15 mse_y:5.41 mse_u:1.91 mse_v:1.36 psnr_avg:41.92 psnr_y:40.80 psnr_u:45.31 psnr_v:46.79 
n:126 mse_avg:4.08 mse_y:5.28 mse_u:1.95 mse_v:1.39 psnr_avg:41.99 psnr_y:40.90 psnr_u:45.23 psnr_v:46.69 
n:127 mse_avg:4.20 mse_y:5.46 mse_u:1.97 mse_v:1.40 psnr_avg:41.86 psnr_y:40.76 psnr_u:45.18 psnr_v:46.68 
n:128 mse_avg:5.54 mse_y:7.41 mse_u:2.09 mse_v:1.50 psnr_avg:40.66 psnr_y:39.43 psnr_u:44.93 psnr_v:46.37 
n:129 mse_avg:3.57 mse_y:4.57 mse_u:1.86 mse_v:1.31 psnr_avg:42.56 psnr_y:41.53 psnr_u:45.43 psnr_v:46.94 
n:130 mse_avg:4.30 mse_y:5.63 mse_u:1.94 mse_v:1.36 psnr_avg:41.76 psnr_y:40.63 psnr_u:45.25 psnr_v:46.80 
n:131 mse_avg:4.40 mse_y:5.75 mse_u:2.01 mse_v:1.37 psnr_avg:41.66 psnr_y:40.53 psnr_u:45.10 psnr_v:46.75 
n:132 mse_avg:4.19 mse_y:5.43 mse_u:2.04 mse_v:1.38 psnr_avg:41.87 psnr_y:40.78 psnr_u:45.03 psnr_v:46.74 
n:133 mse_avg:28.78 mse_y:42.25 mse_u:2.24 mse_v:1.43 psnr_avg:33.51 psnr_y:31.87 psnr_u:44.62 psnr_v:46.57 
n:134 mse_avg:3.65 mse_y:4.67 mse_u:1.89 mse_v:1.34 psnr_avg:42.47 psnr_y:41.44 psnr_u:45.37 psnr_v:46.86 
n:135 mse_avg:4.14 mse_y:5.37 mse_u:1.93 mse_v:1.41 psnr_avg:41.93 psnr_y:40.83 psnr_u:45.29 psnr_v:46.64 
n:136 mse_avg:4.94 mse_y:6.57 mse_u:1.99 mse_v:1.41 psnr_avg:41.16 psnr_y:39.96 psnr_u:45.14 psnr_v:46.64 
n:137 mse_avg:29.32 mse_y:43.10 mse_u:2.08 mse_v:1.44 psnr_avg:33.42 psnr_y:31.79 psnr_u:44.96 psnr_v:46.54 
n:138 mse_avg:79.24 mse_y:117.88 mse_u:2.39 mse_v:1.53 psnr_avg:29.11 psnr_y:27.42 psnr_u:44.35 psnr_v:46.28 
n:139 mse_avg:3.58 mse_y:4.55 mse_u:1.89 mse_v:1.34 psnr_avg:42.56 psnr_y:41.55 psnr_u:45.36 psnr_v:46.85 
n:140 mse_avg:415.67 mse_y:621.32 mse_u:6.45 mse_v:2.31 psnr_avg:21.91 psnr_y:20.20 psnr_u:40.04 psnr_v:44.49 
n:141 mse_avg:410.24 mse_y:613.12 mse_u:6.62 mse_v:2.33 psnr_avg:21.97 psnr_y:20.26 psnr_u:39.92 psnr_v:44.46 
n:142 mse_avg:401.95 mse_y:600.66 mse_u:6.73 mse_v:2.33 psnr_avg:22.05 psnr_y:20.34 psnr_u:39.85 psnr_v:44.47 
n:143 mse_avg:401.20 mse_y:599.53 mse_u:6.80 mse_v:2.30 psnr_avg:22.06 psnr_y:20.35 psnr_u:39.81 psnr_v:44.52 
n:144 mse_avg:3.07 mse_y:3.90 mse_u:1.64 mse_v:1.20 psnr_avg:43.22 psnr_y:42.22 psnr_u:45.99 psnr_v:47.34 
n:145 mse_avg:3.90 mse_y:5.12 mse_u:1.71 mse_v:1.25 psnr_avg:42.18 psnr_y:41.04 psnr_u:45.80 psnr_v:47.15 
n:146 mse_avg:30.45 mse_y:44.85 mse_u:1.95 mse_v:1.39 psnr_avg:33.26 psnr_y:31.61 psnr_u:45.24 psnr_v:46.70 
n:147 mse_avg:629.27 mse_y:940.20 mse_u:11.80 mse_v:3.04 psnr_avg:20.11 psnr_y:18.40 psnr_u:37.41 psnr_v:43.30 
n:148 mse_avg:583.58 mse_y:871.76 mse_u:11.57 mse_v:2.86 psnr_avg:20.44 psnr_y:18.73 psnr_u:37.50 psnr_v:43.57 
n:149 mse_avg:4.42 mse_y:5.74 mse_u:2.09 mse_v:1.48 psnr_avg:41.64 psnr_y:40.54 psnr_u:44.93 psnr_v:46.43 
n:150 mse_avg:660.50 mse_y:987.67 mse_u:9.02 mse_v:3.34 psnr_avg:19.90 psnr_y:18.18 psnr_u:38.58 psnr_v:42.89 
n:151 mse_avg:1185.93 mse_y:1772.86 mse_u:16.50 mse_v:7.64 psnr_avg:17.36 psnr_y:15.64 psnr_u:35.96 psnr_v:39.30 
n:152 mse_avg:579.28 mse_y:865.34 mse_u:11.61 mse_v:2.73 psnr_avg:20.47 psnr_y:18.76 psnr_u:37.48 psnr_v:43.77 
n:153 mse_avg:558.07 mse_y:833.59 mse_u:11.32 mse_v:2.71 psnr_avg:20.63 psnr_y:18.92 psnr_u:37.59 psnr_v:43.80 
n:154 mse_avg:541.35 mse_y:808.51 mse_u:11.30 mse_v:2.75 psnr_avg:20.76 psnr_y:19.05 psnr_u:37.60 psnr_v:43.74 
n:155 mse_avg:933.06 mse_y:1394.64 mse_u:15.16 mse_v:4.65 psnr_avg:18.40 psnr_y:16.69 psnr_u:36.32 psnr_v:41.45 
n:156 mse_avg:945.24 mse_y:1412.80 mse_u:15.49 mse_v:4.76 psnr_avg:18.34 psnr_y:16.63 psnr_u:36.23 psnr_v:41.35 
n:157 mse_avg:3.50 mse_y:4.46 mse_u:1.82 mse_v:1.30 psnr_avg:42.66 psnr_y:41.64 psnr_u:45.52 psnr_v:46.98 
n:158 mse_avg:932.42 mse_y:1393.51 mse_u:14.65 mse_v:5.85 psnr_avg:18.40 psnr_y:16.69 psnr_u:36.47 psnr_v:40.46 
n:159 mse_avg:3.58 mse_y:4.58 mse_u:1.83 mse_v:1.33 psnr_avg:42.55 psnr_y:41.52 psnr_u:45.50 psnr_v:46.89 
n:160 mse_avg:1195.65 mse_y:1786.38 mse_u:20.65 mse_v:7.69 psnr_avg:17.32 psnr_y:15.61 psnr_u:34.98 psnr_v:39.27 
n:161 mse_avg:1199.35 mse_y:1791.84 mse_u:20.94 mse_v:7.81 psnr_avg:17.31 psnr_y:15.60 psnr_u:34.92 psnr_v:39.21 
n:162 mse_avg:1207.87 mse_y:1804.49 mse_u:21.41 mse_v:7.81 psnr_avg:17.28 psnr_y:15.57 psnr_u:34.82 psnr_v:39.20 
n:163 mse_avg:999.33 mse_y:1493.44 mse_u:16.58 mse_v:5.61 psnr_avg:18.10 psnr_y:16.39 psnr_u:35.94 psnr_v:40.64 
n:164 mse_avg:3.57 mse_y:4.57 mse_u:1.81 mse_v:1.32 psnr_avg:42.57 psnr_y:41.53 psnr_u:45.56 psnr_v:46.92 
n:165 mse_avg:4.08 mse_y:5.32 mse_u:1.88 mse_v:1.35 psnr_avg:41.99 psnr_y:40.87 psnr_u:45.39 psnr_v:46.84 
