n:79 mse_avg:1.62 mse_y:1.98 mse_u:0.93 mse_v:0.85 psnr_avg:46.01 psnr_y:45.17 psnr_u:48.45 psnr_v:48.85 
n:80 mse_avg:1.91 mse_y:2.40 mse_u:0.95 mse_v:0.88 psnr_avg:45.29 psnr_y:44.32 psnr_u:48.34 psnr_v:48.71 
n:81 mse_avg:1.07 mse_y:1.20 mse_u:0.83 mse_v:0.78 psnr_avg:47.81 psnr_y:47.33 psnr_u:48.93 psnr_v:49.23 
n:82 mse_avg:1.39 mse_y:1.64 mse_u:0.95 mse_v:0.85 psnr_avg:46.67 psnr_y:45.99 psnr_u:48.35 psnr_v:48.86 
n:83 mse_avg:1.40 mse_y:1.65 mse_u:0.95 mse_v:0.85 psnr_avg:46.63 psnr_y:45.94 psnr_u:48.38 psnr_v:48.86 
n:84 mse_avg:1.88 mse_y:2.35 mse_u:0.97 mse_v:0.87 psnr_avg:45.36 psnr_y:44.41 psnr_u:48.28 psnr_v:48.72 
n:85 mse_avg:1.64 mse_y:2.01 mse_u:0.94 mse_v:0.85 psnr_avg:45.96 psnr_y:45.10 psnr_u:48.40 psnr_v:48.84 
n:86 mse_avg:1.07 mse_y:1.21 mse_u:0.82 mse_v:0.77 psnr_avg:47.80 psnr_y:47.32 psnr_u:49.00 psnr_v:49.24 
n:87 mse_avg:1.42 mse_y:1.69 mse_u:0.92 mse_v:0.85 psnr_avg:46.57 psnr_y:45.86 psnr_u:48.49 psnr_v:48.83 
n:88 mse_avg:1.63 mse_y:2.00 mse_u:0.93 mse_v:0.87 psnr_avg:45.97 psnr_y:45.12 psnr_u:48.47 psnr_v:48.74 
n:89 mse_avg:1.64 mse_y:2.01 mse_u:0.94 mse_v:0.87 psnr_avg:45.95 psnr_y:45.10 psnr_u:48.38 psnr_v:48.73 
n:90 mse_avg:1.92 mse_y:2.42 mse_u:0.95 mse_v:0.90 psnr_avg:45.26 psnr_y:44.29 psnr_u:48.35 psnr_v:48.58 
n:91 mse_avg:1.08 mse_y:1.22 mse_u:0.85 mse_v:0.76 psnr_avg:47.76 psnr_y:47.27 psnr_u:48.85 psnr_v:49.35 
n:92 mse_avg:1.41 mse_y:1.67 mse_u:0.96 mse_v:0.82 psnr_avg:46.60 psnr_y:45.91 psnr_u:48.29 psnr_v:48.97 
n:93 mse_avg:1.40 mse_y:1.65 mse_u:0.95 mse_v:0.85 psnr_avg:46.63 psnr_y:45.95 psnr_u:48.33 psnr_v:48.83 
n:94 mse_avg:1.91 mse_y:2.40 mse_u:0.97 mse_v:0.87 psnr_avg:45.29 psnr_y:44.33 psnr_u:48.27 psnr_v:48.74 
n:95 mse_avg:1.63 mse_y:2.00 mse_u:0.94 mse_v:0.85 psnr_avg:45.97 psnr_y:45.12 psnr_u:48.38 psnr_v:48.85 
n:96 mse_avg:1.07 mse_y:1.21 mse_u:0.83 mse_v:0.77 psnr_avg:47.78 psnr_y:47.30 psnr_u:48.94 psnr_v:49.24 
n:97 mse_avg:1.41 mse_y:1.66 mse_u:0.95 mse_v:0.85 psnr_avg:46.60 psnr_y:45.92 psnr_u:48.35 psnr_v:48.82 
n:98 mse_avg:1.62 mse_y:1.99 mse_u:0.92 mse_v:0.84 psnr_avg:46.01 psnr_y:45.15 psnr_u:48.50 psnr_v:48.88 
n:99 mse_avg:1.59 mse_y:1.95 mse_u:0.94 mse_v:0.84 psnr_avg:46.07 psnr_y:45.24 psnr_u:48.42 psnr_v:48.86 
n:100 mse_avg:1.93 mse_y:2.43 mse_u:0.96 mse_v:0.88 psnr_avg:45.24 psnr_y:44.27 psnr_u:48.29 psnr_v:48.69 
n:101 mse_avg:1.08 mse_y:1.21 mse_u:0.86 mse_v:0.76 psnr_avg:47.78 psnr_y:47.31 psnr_u:48.79 psnr_v:49.32 
n:102 mse_avg:1.38 mse_y:1.62 mse_u:0.95 mse_v:0.85 psnr_avg:46.70 psnr_y:46.03 psnr_u:48.35 psnr_v:48.86 
n:103 mse_avg:1.57 mse_y:1.93 mse_u:0.93 mse_v:0.81 psnr_avg:46.13 psnr_y:45.29 psnr_u:48.44 psnr_v:49.03 
